asin,title,rank,price,rating_volume,offers,offers_bool,rating,Brand,Color,Connectivity Technology,Special Feature,Movement Detection Technology,Number of Buttons,Recommended Uses For Product,Material,Hand Orientation,Tech Brand,Series,Item model number,Hardware Platform,Operating System,Item Weight,Product Dimensions,Item Dimensions,Color,Power Source,Manufacturer,Department,Batteries,ASIN,Is Discontinued By Manufacturer,Customer Reviews,Rating,Best Sellers Rank,Country of Origin,Average Battery Life (in hours),OS,Connectivity technologies,Special features,Other display features,Whats in the box,Standing screen display size,Language,Package Dimensions,Voltage,Wireless Type,Number of Processors
B08QVNG4BM,Razer Naga X Wired MMO Gaming Mouse: 18K DPI Optical Sensor - 2nd-gen Optical Switch - Chroma RGB Lighting - 16 Programmable Buttons - 85g - Classic Black,24,44.99,20536,0,FALSE,4.5,Razer,black,USB,"Wireless, Programmable Buttons, Portable, Ergonomic Design",Optical,null,null,null,null,null,RZ01-03590100-R3U1,null,null,22,2.95 x 4.68 x 1.7 inches,null,null,null,null,Razer,B08QVNG4BM,null,"20,500",4.5,"#398 in Video Games (See Top 100 in Video Games), #25 in PC Gaming Mice",China,null,null,null,null,null,null,null,null,null,null,null,null,,
B086X42Q4R,"Vassink Ergonomic Mouse, Rechargeable Wireless Mouse, 2.4GHz Rechargeable Wireless Vertical Optical Mice with USB Receiver, 6 Buttons, 800/1200/1600 DPI, for Laptop, PC, Computer Black",25,13.79,2789,0,FALSE,4.2,Vassink,Black,"Wireless, USB","Wireless, Rechargeable",Optical,null,null,null,null,null,null,null,null,5.6,4.72 x 2.36 x 3.15 inches,null,null,1 Lithium Polymer batteries required. (included),null,Vassink,B086X42Q4R,null,"2,769",4.2,"#608 in Video Games (See Top 100 in Video Games), #6 in GEM Box Microconsole, #35 in PC Gaming Mice",China,null,null,null,null,null,null,null,null,null,null,null,null,,
B082LRMY53,"Corsair SCIMITAR RGB ELITE Gaming Mouse For MOBA, MMO - 18,000 DPI - 17 Progammable Buttons - iCUE Compatible - Black",26,59.99,2581,0,FALSE,4.4,Corsair,Black,Bluetooth,Key Slider Side Panel,Optical,null,null,null,null,SCIMITAR RGB ELITE,CH-9304211-NA,PC,null,4.3,6.89 x 4.49 x 3.15 inches,LxWxH 6.89 x 4.49 x 3.15 inches,Corded Electric,1 AA batteries required.,null,Corsair,B082LRMY53,null,null,null,null,China,null,null,null,null,null,null,null,null,null,null,null,null,,
B092QXSVSB,"VersionTECH. Wireless Gaming Mouse, Rechargeable Computer Mouse Mice with 7 LED Lights, 6 Programmable Buttons, 2.4G USB Nano Receiver 3 Adjustable DPI for Laptop PC Gamer Desktop Chromebook Mac-Black",27,15.99,4421,0,FALSE,4.3,VersionTECH.,Black,2.4G Wireless Connection,"Wireless, Programmable Buttons, Ergonomic Design, Rechargeable, LED Lights",Optical,null,null,null,null,null,GM-03,null,null,3.32,4.02 x 5.59 x 1.97 inches,null,null,1 Lithium Polymer batteries required. (included),null,VersionTECH.,B092QXSVSB,null,"4,393",4.3,"#349 in Video Games (See Top 100 in Video Games), #5 in Mac Gaming Mice, #23 in PC Gaming Mice",China,null,null,null,null,null,null,null,null,null,null,null,null,,
B0BP6HTL8P,Dofuhem Metal Mini Mouse Mover with 2 Buttons Undetectable Tiny Mouse Jiggler with ON/Off Switch 3 Jiggle Modes Automatically Simulates Mouse Movement for Computer Awakening,28,6.99,545,0,FALSE,4.6,Dofuhem,black,USB,"2 buttons, metal",Optical even without mouse,null,null,null,null,null,null,null,null,0.32,1.24 x 0.43 x 0.1 inches,null,null,null,null,Dofuhem,B0BP6HTL8P,null,539,4.5,"#525 in Video Games (See Top 100 in Video Games), #31 in PC Gaming Mice",China,null,null,null,null,null,null,null,null,null,null,null,null,,
B0788MCRGC,"Razer Naga Trinity Gaming Mouse: 16,000 DPI Optical Sensor - Chroma RGB Lighting - Interchangeable Side Plate w/ 2, 7, 12 Button Configurations - Mechanical Switches",29,78.4,20536,0,FALSE,4.5,Razer,null,USB,"Programmable Buttons, Lightweight, Ergonomic Design",Optical,19,null,null,null,null,RZ01-02410100-R3U1,null,null,10.6,2.76 x 2.91 x 1.69 inches,null,null,2 AA batteries required.,null,Razer Inc.,B0788MCRGC,No,"20,500",4.5,"#423 in Video Games (See Top 100 in Video Games), #27 in PC Gaming Mice",null,null,null,null,null,null,null,null,null,null,null,null,null,,
B07NSSPV9S,"Logitech G703 Lightspeed Wireless Gaming Mouse W/Hero 25K Sensor, PowerPlay Compatible, Lightsync RGB, Lightweight 95G+10G Optional, 100-25, 600 DPI, Rubber Side Grips - Black",30,72.95,6501,0,FALSE,4.6,Logitech G,Black,Bluetooth,Lightweight,Optical,null,null,null,null,G703 LIGHTSPEED Wireless Gaming Mouse with HERO 25K Sensor,910-005638,PC,Microsoft Windows,3.8,43 x 68 x 124 inches,LxWxH 43 x 68 x 124 inches,Battery Powered,1 Lithium Polymer batteries required. (included),null,Logitech,B07NSSPV9S,No,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,
B088539GLT,"Razer Gigantus v2 Cloth Gaming Mouse Pad (Medium): Thick, High-Density Foam - Non-Slip Base - Classic Black",31,8.99,10190,0,FALSE,4.7,Razer,Classic Black,null,Non-slip,null,null,Gaming,Rubber,null,null,RZ02-03330200-R3U1,null,null,0.656,14.18 x 10.84 x 0.12 inches,null,null,null,null,Razer,B088539GLT,null,"10,174",4.7,"#321 in Video Games (See Top 100 in Video Games), #19 in PC Gaming Mice",null,null,null,null,null,null,null,null,null,null,null,null,null,,
B08D27XXRY,"Razer Naga Pro Wireless Gaming Mouse: Interchangeable Side Plate w/ 2, 6, 12 Button Configurations - Focus+ 20K DPI Optical Sensor - Fastest Gaming Mouse Switch - Chroma RGB Lighting",32,96.1,20536,0,FALSE,4.5,Razer,Black,USB,"Wireless, Programmable Buttons, Touch Scroll, Ergonomic Design",Optical,null,null,null,null,null,RZ01-03420100-R3U1,null,null,4.1,2.94 x 1.7 x 4.68 inches,null,null,null,null,Razer,B08D27XXRY,null,"20,500",4.5,"#542 in Video Games (See Top 100 in Video Games), #31 in PC Gaming Mice",null,null,null,null,null,null,null,null,null,null,null,null,null,,
B09QS2GS2H,"T-DAGGER Wireless Gaming Mouse- USB Cordless PC Accessories Computer Mice with LED Backlit, Ergonomic Gamer Laptop Mouse with 7 Silent Buttons, 5 Adjustable DPI Plug & Play for PC",33,16.99,1494,0,FALSE,4.5,T-DAGGER,Blue,USB,"Wireless, Portable, Ergonomic Design",Optical,null,null,null,null,null,null,null,null,2.94,2.8 x 4.88 x 1.54 inches,null,null,1 AA batteries required.,null,T-DAGGER,B09QS2GS2H,null,"1,482",4.5,"#353 in Video Games (See Top 100 in Video Games), #24 in PC Gaming Mice",null,null,null,null,null,null,null,null,null,null,null,null,null,,
B09NBV52FS,"WEEMSBOX Wired Gaming Mouse, PC Gaming Mice [Breathing RGB LED] [Plug Play] High-Precision Adjustable 7200 DPI, 7 Programmable Buttons, Ergonomic Computer USB Mouse for Windows/PC/Mac/Laptop Gamer",34,16.99,1785,0,FALSE,4.5,WEEMSBOX,Black,USB,"Programmable Buttons, Portable, Ergonomic Design",Optical,null,null,null,null,null,null,null,null,7.1,null,null,null,null,null,Lizsword,B09NBV52FS,null,"1,772",4.5,"#612 in Video Games (See Top 100 in Video Games), #36 in PC Gaming Mice, #44 in Mac Games & Accessories",null,null,null,null,null,null,null,null,null,5.28 x 3.58 x 2.05 inches,null,null,null,,
B0BYJ7N7LX,"SOLAKAKA White Wireless Gaming Mouse Bluetooth with Honeycomb Shell, Side Buttons,Tri-Modes(BT5.1+BT5.1+2.4GHz) Lightweight RGB for PC/Tablet/Desktop/Office/Games",35,25.89,495,0,FALSE,4.1,SOLAKAKA,white-SM600 PLUS,"Wireless, Bluetooth",Wireless,Optical,null,null,null,null,null,0615-A107,null,null,3.17,4.88 x 2.76 x 1.61 inches,null,null,null,null,SOLAKAKA,B0BYJ7N7LX,null,433,4.2,"#647 in Video Games (See Top 100 in Video Games), #40 in PC Gaming Mice",null,null,null,null,null,null,null,null,null,null,null,null,null,,
B09QXBVMDH,Superglide1 - Super Smooth Polished Surface Mouse Feet/Skates Made with Ultra Strong Flawless Glass Super Fast Smooth and Durable Sole for Logitech G Pro X Superlight1 [White],36,24.95,1518,0,FALSE,4.5,Pulsar Gaming Gears,White,Not required,Tempered Glass,Optical,null,null,null,null,null,null,PC,null,1.44,null,null,null,null,null,AplusX Inc.,B09QXBVMDH,null,null,null,null,China,null,null,null,null,null,null,null,null,4.06 x 3.15 x 0.51 inches,null,null,null,,
B09ZY348SY,"Redragon M810 Pro Wireless Gaming Mouse, 10000 DPI Wired/Wireless Gamer Mouse w/Rapid Fire Key, 8 Macro Buttons, 45-Hour Durable Power Capacity and RGB Backlit for PC/Mac/Laptop",37,32.99,733,0,FALSE,4.5,Redragon,Black,"2.4Ghz Wireless, USB-C",Wireless,Optical,null,null,null,null,null,M810 PRO,null,null,8.8,8.07 x 6.1 x 2.17 inches,null,null,1 Lithium Polymer batteries required.,null,Redragon,B09ZY348SY,null,710,4.5,"#576 in Video Games (See Top 100 in Video Games), #10 in Mac Gaming Mice, #33 in PC Gaming Mice",China,null,null,null,null,null,null,null,null,null,null,null,null,,
B07YPC3BQC,Razer Viper Ultimate Hyperspeed Lightest Wireless Gaming Mouse & RGB Charging Dock: Fastest Gaming Mouse Switch - 20K DPI Optical Sensor - Chroma Lighting - 8 Programmable Buttons - 70 Hr Battery,38,93.99,15261,0,FALSE,4.6,Razer,Classic Black,"2.4GHz Wireless, USB","Wireless, Programmable Buttons, Portable, Lightweight, Chroma RGB",Optical,null,null,null,null,Viper Ultimate,RZ01-03050100-R3U1,PC,null,2.72,2.61 x 4.98 x 1.49 inches,LxWxH 2.61 x 4.98 x 1.49 inches,Battery Powered,1 Lithium Ion batteries required. (included),mouse,Razer,B07YPC3BQC,No,null,null,null,China,null,null,null,null,null,null,null,null,null,null,null,null,,
B09TLCRGMN,"HyperX Pulsefire Haste – Wireless Gaming Mouse – Ultra Lightweight, 61g, 100 Hour Battery Life, 2.4Ghz Wireless, Honeycomb Shell, Hex Design, Up to 16000 DPI, 6 Programmable Buttons – Black",39,48.99,2167,0,FALSE,4.6,HyperX,Black,USB,"Wireless, Lightweight, Ergonomic Design, LED Lights, Water Resistant",Optical,null,null,null,null,Pulsefire Haste,4P5D7AA,PC,null,7.2,4.7 x 7.1 x 2.4 inches,LxWxH 4.7 x 7.1 x 2.4 inches,Battery Powered,1 Lithium Polymer batteries required. (included),null,HP Inc.,B09TLCRGMN,null,null,null,null,null,100,null,null,null,null,null,null,English,null,1 Volts,null,null,,
B07YPBQSCK,"Razer Basilisk X HyperSpeed Wireless Gaming Mouse: Bluetooth & Wireless Compatible, 16K DPI Optical Sensor, 6 Programmable Buttons, 450 Hr Battery, Classic Black",40,44.98,19724,0,FALSE,4.5,Razer,Black,Wireless,"Wireless, Programmable Buttons, Portable, Ergonomic Design",Optical,null,null,null,null,Basilisk X HyperSpeed,RZ01-03150100-R3U1,PC,Windows 11,7,5.11 x 2.36 x 1.65 inches,LxWxH 5.11 x 2.36 x 1.65 inches,Battery Powered,1 AA batteries required. (included),mouse,Razer,B07YPBQSCK,No,null,null,null,null,450,null,null,null,null,null,null,null,null,null,null,null,,
